SAMPLE_ID,REFERENCE,BENTHIC_SEASON,X..MiningCum,CONDUCT,WVSCI,TOTAL_RBP_SCORE,TEMP
3552,No,Summer,0,446,79.04,140,16.4
3513,No,Summer,0.04,817,61.06,136,21.05
11055,No,Summer,0.017,305,73.25,135,23.69
20488,No,Spring,0.163,180,72.88,113,6.98
2541,No,Summer,0.013,38,53,116,20
27107,No,Spring,0,269,21.62,105,14.6
11193,No,Summer,0.058,486,74.36,105,25.39
20503,No,Spring,0,20,87.81,155,13.86
30909,No,Spring,0.151,97,86.26,128,14.03
10407,No,Summer,0,121,54.99,92,18.67
20627,No,Spring,0,130,52.64,146,14.98
11213,No,Summer,0.4,559,43.6,85,22.72
3488,No,Summer,0.222,578,35.66,97,22.79
27361,No,Summer,0.052,294,69.41,154,20.97
31916,,Summer,0.06,641,60.02,137,22.18
11133,No,Summer,0.034,1106,75.91,145,19.02
17426,No,Summer,0,18,69.4,150,16.73
30835,No,Spring,0,103,82.49,148,16.68
17424,No,Summer,0,27,84.09,157,16.23
30855,No,Summer,0.55,1398,27.11,159,20.92
20,No,Summer,0.254,787,54.75,120,17.9
17420,Level I,Summer,0,26,71.56,177,18.74
11170,No,Summer,0.039,586,57.43,108,21.6
26027,No,Spring,0.058,86,52,121,15.96
2745,No,Spring,0,168,59.31,89,12.09
20632,No,Spring,0.245,426,65.36,135,11.81
31918,,Summer,0.001,651,38.64,110,22.96
20633,No,Spring,0,97,19.78,129,19.42
11192,No,Summer,0.218,751,68.77,133,25
17394,No,Summer,0,112,67.24,103,20.42
31928,,Summer,0.154,546,70.83,134,18.34
17406,No,Summer,0,44,92.67,156,18.43
3372,No,Spring,0.006,111,51.2,127,18.43
27164,No,Spring,0,90,66.65,117,11.79
5328,No,Summer,0.128,1241,45.22,149,24.81
11047,No,Summer,0.433,1739,56.16,98,20.25
10400,No,Summer,0,183,89.43,121,21.7
10409,No,Spring,0,103,95.59,122,13.27
30811,No,Spring,0.14,694,67.16,147,25.42
27023,No,Summer,0.033,217,61.53,166,20.51
35378,,Summer,0,285,81.23,167,22.26
2498,No,Summer,0.011,1104,66.82,139,17.7
2540,No,Summer,0,28,71.1,145,16.7
3481,No,Summer,0.191,414,45.43,132,23.26
11136,No,Summer,0.301,745,83.73,135,23.79
3393,No,Spring,0,140,74.74,135,13.35
34979,,Summer,0.03,348,77.73,126,21.85
34976,,Summer,0,288,60.15,151,17.28
27142,Level I,Spring,0,46,75.2,161,15.16
35578,,Summer,0,290,62.32,127,24.06
20551,No,Spring,0.001,48,24.09,140,16.69
20457,No,Spring,0,188,62.43,107,12.03
11059,No,Summer,0.129,989,49.33,134,23.92
30804,No,Summer,0.327,680,69.9,148,17.82
2746,No,Spring,0,77,83.15,83,13.02
3508,No,Summer,0.041,554,74.77,143,18.8
3384,No,Spring,0,70.4,80.22,139,15.45
130,No,Summer,0.132,241,28.56,127,17.3
3374,No,Spring,0,140,62.42,107,18.67
11119,No,Summer,0.424,1163,54.45,140,20.43
11211,No,Summer,0.485,1083,62.23,139,26.16
20459,No,Spring,0.023,347,84.36,118,12.47
17382,No,Summer,0.186,158,71.53,156,19.07
11207,No,Summer,0.352,1464,42.87,129,21.21
30941,No,Spring,0,203,93.59,143,14.68
20507,No,Spring,0,175,86.94,139,17.64
11135,No,Summer,0.226,845,68.24,142,23.15
30840,No,Spring,0.002,77,93.7,136,15.36
3364,No,Spring,0,57.5,88.23,127,8.34
11101,No,Summer,0.339,343,71.61,117,20.43
10445,No,Spring,0,47,92.84,141,16.63
2730,No,Spring,0,146,70.81,97,15.05
34981,,Summer,0.03,303,76.15,143,21.38
11115,No,Summer,0.254,1640,54.52,137,22.51
3363,Level I,Spring,0,55.8,87.78,151,9.78
17318,No,Summer,0.381,1040,30.64,88,24.14
16799,No,Spring,0.244,1039,64.64,139,15.06
11162,No,Summer,0.003,377,66.78,115,24.81
11147,No,Summer,0.028,887,63.17,126,21.14
11058,No,Summer,0.045,293,60.17,139,22.75
3480,No,Summer,0,337,36.91,121,20.34
10358,No,Spring,0,24,93.56,162,10.87
35333,,Summer,0.615,2445,61.01,129,21.37
11206,No,Summer,0.36,1496,23.12,124,22.8
11137,No,Summer,0.015,1016,66.93,118,20.31
11161,No,Summer,0.045,138,78.32,130,24.1
11109,No,Summer,0.029,883,57.49,147,22.19
