"","EVENT_ID","STATE","MONTH_NAME","EVENT_TYPE","INJURIES_DIRECT","INJURIES_INDIRECT","DEATHS_DIRECT","DEATHS_INDIRECT","DAMAGE_PROPERTY","DAMAGE_CROPS"
"82",394630,"LAKE MICHIGAN","June","Marine Strong Wind",0,0,1,0,"0.00K","0.00K"
"320",397595,"WISCONSIN","July","Heat",25,0,1,0,"0.00K","0.00K"
"321",397596,"WISCONSIN","July","Heat",25,0,2,0,"0.00K","0.00K"
"322",405016,"OHIO","July","Heat",0,0,3,0,"0.00K","0.00K"
"396",397921,"WISCONSIN","July","Heat",0,0,1,0,"0.00K","0.00K"
"700",403704,"PENNSYLVANIA","July","Heat",0,0,3,0,"0.00K","0.00K"
"707",403711,"PENNSYLVANIA","July","Excessive Heat",0,0,5,0,"0.00K","0.00K"
"824",399764,"MISSOURI","July","Excessive Heat",88,0,2,0,"0.00K","0.00K"
"825",399771,"MISSOURI","July","Excessive Heat",84,0,14,0,"0.00K","0.00K"
"923",399933,"MISSOURI","July","Excessive Heat",34,0,1,0,"0.00K","0.00K"
"924",399934,"MISSOURI","July","Excessive Heat",19,0,1,0,"0.00K","0.00K"
"937",399935,"MISSOURI","July","Excessive Heat",0,0,1,0,"0.00K","0.00K"
"1112",399759,"MISSOURI","July","Excessive Heat",0,0,1,0,"0.00K","0.00K"
"1314",393720,"NEVADA","July","Excessive Heat",0,0,1,0,"0.00K","0.00K"
"1370",397924,"WISCONSIN","July","Heat",0,0,1,0,"0.00K","0.00K"
"2317",410712,"FLORIDA","September","Lightning",0,0,1,0,"0.00K","0.00K"
"2591",406469,"FLORIDA","September","Rip Current",0,0,1,0,"0.00K","0.00K"
"2679",401247,"FLORIDA","September","Rip Current",0,0,1,0,"0.00K","0.00K"
"3885",373911,"SOUTH CAROLINA","May","Thunderstorm Wind",0,0,1,0,"4.00K","0.00K"
"4669",383296,"SOUTH DAKOTA","May","Flash Flood",0,0,1,0,"2.00M","0.00K"
"4878",386165,"WISCONSIN","May","Thunderstorm Wind",0,0,1,0,"0.00K","0.00K"
"5184",370444,"MINNESOTA","May","Lightning",0,2,0,2,"0.00K","0.00K"
"5923",372583,"OHIO","May","Flash Flood",0,0,1,0,"250.00K","0.00K"
"6240",382725,"PENNSYLVANIA","May","Lightning",0,3,0,1,"250.00K","0.00K"
"7634",385566,"NORTH CAROLINA","May","Thunderstorm Wind",0,0,1,0,"2.00K","0.00K"
