FAT_YEARMONTH,FAT_DAY,FAT_TIME,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION,EVENT_YEARMONTH
201402,2,0,21307,486385,"I","02/02/2014 00:00:00",24,"M","Vehicle/Towed Trailer",201402
201402,4,0,21305,486644,"I","02/04/2014 00:00:00",46,"M","Outside/Open Areas",201402
201402,2,0,21310,486894,"I","02/02/2014 00:00:00",89,"M","Vehicle/Towed Trailer",201402
201402,4,0,21566,487075,"I","02/04/2014 00:00:00",36,"M","Vehicle/Towed Trailer",201402
201402,11,0,21567,487080,"I","02/11/2014 00:00:00",4,"F","Vehicle/Towed Trailer",201402
201402,7,0,21569,487123,"I","02/07/2014 00:00:00",3,"M","Vehicle/Towed Trailer",201402
201402,4,0,21546,487709,"I","02/04/2014 00:00:00",70,"M","Vehicle/Towed Trailer",201402
201402,11,0,21329,488081,"D","02/11/2014 00:00:00",,"","Outside/Open Areas",201402
201402,11,0,21330,488081,"D","02/11/2014 00:00:00",,"","Outside/Open Areas",201402
201402,18,0,21419,489125,"D","02/18/2014 00:00:00",26,"M","Outside/Open Areas",201402
201402,20,0,21674,489474,"D","02/20/2014 00:00:00",54,"M","Outside/Open Areas",201402
201402,20,0,21499,491761,"D","02/20/2014 00:00:00",,"","Mobile/Trailer Home",201402
201402,20,0,21500,491761,"D","02/20/2014 00:00:00",,"","Mobile/Trailer Home",201402
201402,6,0,21550,492999,"D","02/06/2014 00:00:00",94,"F","Permanent Structure",201402
201402,21,0,21699,499666,"I","02/21/2014 00:00:00",58,"F","Vehicle/Towed Trailer",201402
201402,6,0,21673,493262,"I","02/06/2014 00:00:00",43,"F","Vehicle/Towed Trailer",201402
201402,21,0,21785,494024,"D","02/21/2014 00:00:00",86,"M","Vehicle/Towed Trailer",201402
201402,2,0,21688,494980,"I","02/02/2014 00:00:00",9,"M","In Water",201402
201402,2,0,21689,494980,"I","02/02/2014 00:00:00",5,"F","In Water",201402
201402,19,0,21686,499225,"I","02/19/2014 00:00:00",50,"M","Vehicle/Towed Trailer",201402
201402,19,0,21687,499225,"I","02/19/2014 00:00:00",,"M","Vehicle/Towed Trailer",201402
201402,4,0,21788,496963,"I","02/04/2014 00:00:00",,"F","Mobile/Trailer Home",201402
201402,21,0,21680,498758,"D","02/21/2014 00:00:00",39,"M","Vehicle/Towed Trailer",201402
201401,2,0,21328,483775,"D","01/02/2014 00:00:00",84,"M","Permanent Home",201311
201405,14,0,22021,506440,"D","05/14/2014 00:00:00",40,"M","Outside/Open Areas",201405
201405,9,0,22019,506803,"D","05/09/2014 00:00:00",60,"M","Under Tree",201405
201405,14,0,22020,506947,"D","05/14/2014 00:00:00",71,"M","Outside/Open Areas",201405
201405,23,0,22319,508365,"D","05/23/2014 00:00:00",44,"M","Vehicle/Towed Trailer",201405
201405,27,0,22664,509934,"I","05/27/2014 00:00:00",49,"M","Vehicle/Towed Trailer",201405
201405,8,0,22798,517769,"D","05/08/2014 00:00:00",1,"F","Vehicle/Towed Trailer",201405
201405,27,0,22805,519892,"D","05/27/2014 00:00:00",3,"F","In Water",201405
201405,7,0,22802,518612,"D","05/07/2014 00:00:00",20,"M","In Water",201405
201405,2,0,22822,520683,"D","05/02/2014 00:00:00",91,"M","In Water",201405
201406,2,0,22844,521326,"D","06/02/2014 00:00:00",55,"M","Heavy Equipment/Construction",201405
201405,4,0,22849,522429,"D","05/04/2014 00:00:00",56,"M","Permanent Home",201405
201405,29,0,22850,522678,"D","05/29/2014 00:00:00",17,"M","In Water",201405
201405,29,0,22851,522678,"D","05/29/2014 00:00:00",39,"M","In Water",201405
